,id,model,typ,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
11,RF0,rf,0,,,,,0.4524757705116624,0.7646869400037543,0.2675646884543371,0.471043460239115,selected
12,MLP2aP3D1R,mlp,2,,,1,10000,1.379218339920044,2.12820816040039,1.0228078365325928,1.5766563415527344,architecture_search
13,MLP2aP3D0R,mlp,2,,,0,10000,1.356328010559082,1.953316330909729,0.984657883644104,1.4252688884735107,architecture_search
14,MLP2nP2D0R,mlp,2,,,0,10000,1.2186230421066284,1.9316089153289795,0.8782688975334167,1.40399432182312,architecture_search
15,CNN2nP2D0R,cnn,2,,,0,10000,1.818891525268555,2.6897809505462646,1.3872694969177246,2.0587925910949707,architecture_search
16,LSTM2nP2D0R,lstm,2,,,0,10000,1.8618221282958984,2.6408028602600098,1.4045779705047607,2.0155155658721924,architecture_search
17,RF2,rf,2,,,,,0.46030983424030897,0.7486888345094803,0.2712954899951439,0.46508168310836523,architecture_search
18,MLP5DD030P0,mlp,5,30,,0.0,5000,1.9602361917495728,1.92431902885437,0.92955482006073,0.934414267539978,pretraining
19,MLP5DD050P0,mlp,5,50,,0.0,10000,2.0640652179718018,2.056206226348877,0.9736533164978028,0.9784852266311646,pretraining
20,MLP5DD070P0,mlp,5,70,,0.0,20000,2.0288796424865723,2.0316855907440186,0.9744808077812196,0.9791692495346068,pretraining
21,MLP5DD0100P0,mlp,5,100,,0.0,30000,1.986421823501587,1.988365173339844,0.940909743309021,0.9433463811874391,pretraining
22,MLP6D030P0,mlp,6,30,,0.0,10000,0.1887483149766922,0.19138990342617035,0.10983674228191376,0.11088931560516356,pretraining
23,MLP6D050P0,mlp,6,50,,0.0,20000,0.19093890488147736,0.1906672716140747,0.11324528604745865,0.11333557218313214,pretraining
24,MLP6D070P0,mlp,6,70,,0.0,30000,0.1853732168674469,0.1874610185623169,0.1066996082663536,0.1077614799141884,pretraining
25,MLP6D0100P0,mlp,6,100,,0.0,40000,0.18554365634918213,0.18833334743976596,0.1085718274116516,0.1099645271897316,pretraining
26,MLP7D030P0,mlp,7,30,,0.0,100000,1.1117054224014282,2.0818724632263184,0.5927691459655762,0.8807418942451477,pretraining
27,MLP7D050P0,mlp,7,50,,0.0,100000,1.2655366659164429,2.010904312133789,0.648542582988739,0.8324878811836243,pretraining
28,MLP7D070P0,mlp,7,70,,0.0,200000,1.2589871883392334,1.9484074115753172,0.6520174145698547,0.8265775442123413,pretraining
29,MLP7D0100P0,mlp,7,100,,0.0,200000,1.3962234258651731,1.8664331436157229,0.6837925910949707,0.7956121563911438,pretraining
30,MLP8D030P0,mlp,8,30,,0.0,100000,1.1510013341903689,1.6846532821655271,0.5427826046943665,0.6818851232528687,pretraining
31,MLP8D050P0,mlp,8,50,,0.0,100000,1.2285467386245728,1.8898165225982664,0.5683732628822327,0.6907216310501099,pretraining
32,MLP8D070P0,mlp,8,70,,0.0,200000,1.3015592098236084,1.7749073505401611,0.5828215479850769,0.6804893016815186,pretraining
33,MLP8D0100P0,mlp,8,100,,0.0,200000,1.3729223012924194,1.6670554876327517,0.606275200843811,0.6639804840087891,pretraining
34,MLP9DD030P0,mlp,9,30,,0.0,5000,0.2038433849811554,0.2068801820278168,0.12695886194705966,0.12887802720069885,pretraining
35,MLP9DD050P0,mlp,9,50,,0.0,10000,0.1934687048196793,0.1968681514263153,0.11795710027217865,0.1196986883878708,pretraining
36,MLP9DD070P0,mlp,9,70,,0.0,10000,0.1999967396259308,0.19994650781154635,0.12274348735809325,0.12279758602380753,pretraining
37,MLP9DD0100P0,mlp,9,100,,0.0,20000,0.19015684723854065,0.1918802708387375,0.11479387432336807,0.11581231653690338,pretraining
38,MLP10DD030P0,mlp,10,30,,0.0,5000,1.945003151893616,1.918345808982849,0.9194000959396362,0.9342007637023926,pretraining
39,MLP10DD050P0,mlp,10,50,,0.0,10000,2.0509383678436284,2.0555217266082764,0.9848912954330444,0.9960977435112,pretraining
40,MLP10DD070P0,mlp,10,70,,0.0,10000,2.0126376152038574,2.0336017608642583,0.9677084684371948,0.9831897020339966,pretraining
41,MLP10DD0100P0,mlp,10,100,,0.0,20000,1.9712311029434204,1.9862340688705444,0.9565416574478148,0.9664725065231324,pretraining
42,MLP11DD030P0,mlp,11,30,,0.0,5000,0.2474360466003418,0.2490796148777008,0.1518932282924652,0.1526305377483368,pretraining
43,MLP11DD050P0,mlp,11,50,,0.0,10000,0.21878471970558167,0.2217658758163452,0.13418307900428772,0.135734885931015,pretraining
44,MLP11DD070P0,mlp,11,70,,0.0,10000,0.21908661723136905,0.21987073123455048,0.13324792683124542,0.13365483283996582,pretraining
45,MLP11DD0100P0,mlp,11,100,,0.0,20000,0.2019460499286652,0.2038133144378662,0.11860819160938264,0.11962900310754775,pretraining
46,MLP12DD030P0,mlp,12,30,,0.0,5000,1.951959013938904,1.9118201732635496,0.9090539813041688,0.9150882959365844,pretraining
47,MLP12DD050P0,mlp,12,50,,0.0,10000,2.054273128509521,2.0492043495178223,0.954605221748352,0.9596089124679564,pretraining
48,MLP12DD070P0,mlp,12,70,,0.0,10000,2.019244909286499,2.0219957828521733,0.9532355070114136,0.9567639231681824,pretraining
49,MLP12DD0100P0,mlp,12,100,,0.0,20000,1.9744971990585327,1.9809449911117556,0.9337247014045716,0.938510537147522,pretraining
50,preles2008hy,preles,0,,,,,1.2338243497298433,1.357822380127588,0.7645135423199171,0.8625358425384447,processmodel
51,preles2008bk,preles,2,,,,,3.98973225355808,3.863054209156559,3.2774439046425483,3.1744253711082373,processmodel
52,mlp0nP2D0Rbs,mlp,0,,,,,,0.7071548871534311,,0.5081766289410362,borealsitesprediction
53,prelesbs,preles,3,,,,,,0.6688095868566116,,0.4229790817339437,borealsitesprediction
